                  epoch,         train/box_loss,         train/cls_loss,         train/dfl_loss,   metrics/precision(B),      metrics/recall(B),       metrics/mAP50(B),    metrics/mAP50-95(B),           val/box_loss,           val/cls_loss,           val/dfl_loss,                 lr/pg0,                 lr/pg1,                 lr/pg2
                      1,                 1.3764,                   2.65,                0.98824,                0.85055,                0.76453,                 0.8646,                0.67731,                0.83803,                0.82266,                0.85797,             4.8877e-05,             4.8877e-05,             4.8877e-05
                      2,                0.77045,                0.77176,                0.84958,                0.93833,                 0.8996,                 0.9649,                0.80203,                0.66375,                0.46992,                0.82309,             9.5939e-05,             9.5939e-05,             9.5939e-05
                      3,                0.62858,                 0.5168,                0.82361,                0.96242,                0.93846,                0.98251,                0.86265,                0.52024,                0.36247,                0.80194,             0.00014106,             0.00014106,             0.00014106
                      4,                0.57316,                0.43883,                0.81518,                0.97468,                0.95501,                0.98813,                0.86702,                0.52248,                0.32024,                0.79941,             0.00013827,             0.00013827,             0.00013827
                      5,                0.53362,                0.39169,                0.80744,                0.97825,                0.96205,                0.98957,                0.88369,                0.47483,                0.28806,                 0.7957,             0.00013827,             0.00013827,             0.00013827
                      6,                0.49673,                0.35701,                0.80185,                0.98128,                0.96515,                0.99058,                0.89798,                0.43651,                0.26517,                 0.7896,             0.00013536,             0.00013536,             0.00013536
                      7,                0.46024,                0.32468,                0.79854,                0.98637,                0.96739,                0.99158,                0.90269,                0.42602,                0.25243,                0.78711,             0.00013245,             0.00013245,             0.00013245
                      8,                0.43818,                0.30774,                0.79524,                 0.9848,                0.97783,                0.99267,                0.90961,                0.41087,                0.23815,                 0.7849,             0.00012954,             0.00012954,             0.00012954
                      9,                0.41881,                0.29052,                0.79146,                0.98664,                0.97408,                0.99208,                0.91364,                0.40393,                0.23949,                0.78618,             0.00012663,             0.00012663,             0.00012663
                     10,                0.40821,                0.28183,                 0.7904,                0.98852,                0.97493,                0.99248,                0.91709,                0.39306,                0.22902,                0.78411,             0.00012372,             0.00012372,             0.00012372
                     11,                0.40601,                0.27773,                0.79201,                0.99149,                0.97894,                0.99297,                0.91027,                0.41524,                0.22671,                0.78519,              0.0001208,              0.0001208,              0.0001208
                     12,                0.38891,                0.26487,                0.78823,                0.98775,                0.98148,                 0.9933,                0.92084,                0.38599,                0.21752,                0.78228,             0.00011789,             0.00011789,             0.00011789
                     13,                0.38491,                0.25965,                0.78819,                0.99098,                0.98151,                0.99328,                0.92633,                0.37287,                0.21384,                0.78169,             0.00011498,             0.00011498,             0.00011498
                     14,                0.37865,                 0.2542,                 0.7875,                0.98866,                0.98348,                0.99362,                0.92165,                0.38233,                0.21103,                 0.7808,             0.00011207,             0.00011207,             0.00011207
                     15,                0.36861,                0.24715,                0.78496,                0.99142,                0.98272,                 0.9934,                0.92805,                0.36387,                0.20326,                0.77967,             0.00010916,             0.00010916,             0.00010916
                     16,                0.36356,                0.24151,                0.78401,                0.99227,                 0.9829,                0.99346,                0.92899,                0.36739,                0.20231,                0.77985,             0.00010625,             0.00010625,             0.00010625
                     17,                0.35659,                0.23612,                0.78364,                 0.9909,                0.98566,                0.99376,                0.93034,                0.36493,                0.19935,                0.77896,             0.00010334,             0.00010334,             0.00010334
                     18,                0.35528,                0.23616,                0.78365,                0.99375,                0.98298,                0.99366,                0.93149,                0.35945,                0.19543,                0.77887,             0.00010043,             0.00010043,             0.00010043
                     19,                0.34829,                0.23028,                0.78308,                0.99139,                0.98599,                0.99373,                0.93339,                0.35637,                0.19372,                0.77842,              9.752e-05,              9.752e-05,              9.752e-05
                     20,                0.34117,                0.22329,                0.78165,                0.99303,                0.98732,                  0.994,                 0.9331,                0.35931,                0.19067,                0.77829,             9.4609e-05,             9.4609e-05,             9.4609e-05
                     21,                0.33744,                0.21854,                0.78112,                0.99183,                0.98746,                0.99401,                0.93966,                0.33383,                0.18288,                0.77582,             9.1699e-05,             9.1699e-05,             9.1699e-05
                     22,                0.33168,                0.21608,                0.78055,                0.99094,                0.98795,                0.99398,                0.94022,                0.33367,                  0.183,                0.77644,             8.8788e-05,             8.8788e-05,             8.8788e-05
                     23,                0.33232,                0.21575,                0.78154,                0.99227,                0.98734,                0.99397,                0.93688,                0.34928,                0.18508,                0.77745,             8.5877e-05,             8.5877e-05,             8.5877e-05
                     24,                0.32214,                0.20725,                0.77825,                0.99119,                0.98915,                0.99414,                0.94212,                  0.333,                0.17842,                0.77609,             8.2967e-05,             8.2967e-05,             8.2967e-05
                     25,                0.32596,                0.20864,                 0.7815,                0.99313,                0.98886,                0.99429,                0.94425,                0.32272,                0.17382,                0.77482,             8.0056e-05,             8.0056e-05,             8.0056e-05
                     26,                0.32031,                0.20521,                0.77976,                0.99262,                0.98948,                0.99415,                0.94116,                0.33294,                0.17656,                 0.7754,             7.7146e-05,             7.7146e-05,             7.7146e-05
                     27,                0.31625,                0.20309,                0.77819,                0.99556,                0.98667,                0.99407,                0.94306,                0.32788,                0.17287,                0.77505,             7.4235e-05,             7.4235e-05,             7.4235e-05
                     28,                0.31218,                0.19877,                0.77814,                0.99483,                0.99008,                0.99451,                0.94618,                0.32173,                0.16814,                0.77432,             7.1324e-05,             7.1324e-05,             7.1324e-05
                     29,                0.30676,                0.19466,                0.77722,                0.99444,                0.98884,                0.99434,                  0.946,                0.32148,                0.16962,                0.77379,             6.8414e-05,             6.8414e-05,             6.8414e-05
                     30,                0.30704,                0.19577,                0.77669,                0.99272,                0.99062,                0.99426,                0.94272,                0.33449,                0.17221,                 0.7755,             6.5503e-05,             6.5503e-05,             6.5503e-05
                     31,                0.30143,                0.19118,                0.77697,                0.99362,                0.99053,                0.99412,                0.94483,                0.32056,                0.16549,                0.77413,             6.2593e-05,             6.2593e-05,             6.2593e-05
                     32,                0.30045,                0.19125,                0.77638,                0.99391,                 0.9901,                0.99441,                0.94772,                0.31809,                0.16345,                0.77388,             5.9682e-05,             5.9682e-05,             5.9682e-05
                     33,                0.29806,                0.18973,                0.77617,                0.99545,                0.98993,                0.99432,                0.94789,                0.31565,                 0.1646,                0.77388,             5.6771e-05,             5.6771e-05,             5.6771e-05
                     34,                0.29454,                0.18594,                0.77643,                0.99592,                0.98973,                0.99425,                0.94791,                0.31411,                0.16174,                0.77396,             5.3861e-05,             5.3861e-05,             5.3861e-05
                     35,                0.29202,                0.18336,                0.77591,                0.99466,                0.98996,                0.99432,                0.94595,                 0.3196,                0.16338,                0.77402,              5.095e-05,              5.095e-05,              5.095e-05
                     36,                0.28675,                0.18009,                0.77463,                0.99554,                0.98967,                0.99435,                0.94856,                0.31218,                0.15943,                0.77322,              4.804e-05,              4.804e-05,              4.804e-05
                     37,                0.28374,                0.17791,                 0.7752,                0.99549,                0.99124,                0.99432,                0.95101,                0.30367,                0.15565,                0.77256,             4.5129e-05,             4.5129e-05,             4.5129e-05
                     38,                0.28309,                0.17598,                0.77367,                0.99617,                0.98984,                 0.9943,                0.95075,                0.30437,                 0.1546,                0.77233,             4.2218e-05,             4.2218e-05,             4.2218e-05
                     39,                0.27755,                0.17336,                0.77411,                0.99633,                0.98978,                0.99432,                0.95057,                0.30701,                0.15567,                0.77303,             3.9308e-05,             3.9308e-05,             3.9308e-05
                     40,                0.27646,                0.17214,                0.77444,                0.99595,                0.99094,                0.99438,                0.95244,                0.30179,                0.15391,                0.77243,             3.6397e-05,             3.6397e-05,             3.6397e-05
                     41,                0.28313,                0.17066,                0.77193,                0.99424,                0.99023,                0.99429,                0.96356,                0.27124,                0.15077,                0.76952,             3.3487e-05,             3.3487e-05,             3.3487e-05
                     42,                0.26798,                0.16116,                 0.7714,                0.99503,                0.99058,                0.99437,                 0.9664,                0.26154,                0.14487,                0.76877,             3.0576e-05,             3.0576e-05,             3.0576e-05
                     43,                 0.2598,                0.15827,                0.76939,                0.99624,                0.98899,                0.99441,                0.96739,                 0.2549,                0.14197,                 0.7686,             2.7665e-05,             2.7665e-05,             2.7665e-05
                     44,                 0.2553,                0.15566,                0.76842,                 0.9939,                0.99152,                0.99443,                0.96914,                0.25242,                0.14046,                0.76837,             2.4755e-05,             2.4755e-05,             2.4755e-05
                     45,                0.24926,                0.15157,                0.76933,                0.99523,                0.99037,                0.99445,                0.96977,                0.24731,                0.13911,                0.76771,             2.1844e-05,             2.1844e-05,             2.1844e-05
                     46,                0.24829,                0.14973,                0.76911,                0.99468,                0.99119,                0.99443,                0.97118,                0.24423,                0.13703,                 0.7675,             1.8934e-05,             1.8934e-05,             1.8934e-05
                     47,                0.24359,                0.14705,                0.76808,                0.99628,                0.98902,                0.99448,                0.96954,                 0.2476,                0.13787,                0.76784,             1.6023e-05,             1.6023e-05,             1.6023e-05
                     48,                0.23956,                0.14469,                0.76892,                0.99473,                0.99047,                0.99445,                0.96987,                0.24696,                0.13668,                0.76748,             1.3112e-05,             1.3112e-05,             1.3112e-05
                     49,                0.23849,                0.14397,                0.76872,                0.99556,                0.98994,                0.99445,                0.96985,                0.24619,                0.13607,                0.76733,             1.0202e-05,             1.0202e-05,             1.0202e-05
                     50,                0.23347,                 0.1404,                0.76792,                0.99556,                0.98986,                0.99446,                0.97123,                0.24311,                0.13413,                0.76725,             7.2912e-06,             7.2912e-06,             7.2912e-06
